"Country or Area","Year(s)","Variant","Value"
"South Sudan","2101","Medium",""
"South Sudan","2100","Medium","66.1641"
"South Sudan","2099","Medium","66.0621"
"South Sudan","2098","Medium","65.9619"
"South Sudan","2097","Medium","65.8583"
"South Sudan","2096","Medium","65.7602"
"South Sudan","2095","Medium","65.6532"
"South Sudan","2094","Medium","65.5507"
"South Sudan","2093","Medium","65.445"
"South Sudan","2092","Medium","65.3546"
"South Sudan","2091","Medium","65.2609"
"South Sudan","2090","Medium","65.1658"
"South Sudan","2089","Medium","65.0781"
"South Sudan","2088","Medium","64.9678"
"South Sudan","2087","Medium","64.8594"
"South Sudan","2086","Medium","64.7474"
"South Sudan","2085","Medium","64.6452"
"South Sudan","2084","Medium","64.5459"
"South Sudan","2083","Medium","64.4528"
"South Sudan","2082","Medium","64.3465"
"South Sudan","2081","Medium","64.2313"
"South Sudan","2080","Medium","64.125"
"South Sudan","2079","Medium","64.0176"
"South Sudan","2078","Medium","63.9115"
"South Sudan","2077","Medium","63.8152"
"South Sudan","2076","Medium","63.7081"
"South Sudan","2075","Medium","63.5941"
"South Sudan","2074","Medium","63.4866"
"South Sudan","2073","Medium","63.3801"
"South Sudan","2072","Medium","63.2742"
"South Sudan","2071","Medium","63.155"
"South Sudan","2070","Medium","63.0323"
"South Sudan","2069","Medium","62.9228"
"South Sudan","2068","Medium","62.8023"
"South Sudan","2067","Medium","62.6822"
"South Sudan","2066","Medium","62.5819"
"South Sudan","2065","Medium","62.4753"
"South Sudan","2064","Medium","62.3647"
"South Sudan","2063","Medium","62.2588"
"South Sudan","2062","Medium","62.1407"
"South Sudan","2061","Medium","62.038"
"South Sudan","2060","Medium","61.9215"
"South Sudan","2059","Medium","61.8045"
"South Sudan","2058","Medium","61.6865"
"South Sudan","2057","Medium","61.5722"
"South Sudan","2056","Medium","61.454"
"South Sudan","2055","Medium","61.3425"
"South Sudan","2054","Medium","61.2353"
"South Sudan","2053","Medium","61.1293"
"South Sudan","2052","Medium","61.0155"
"South Sudan","2051","Medium","60.9149"
"South Sudan","2050","Medium","60.7923"
"South Sudan","2049","Medium","60.6743"
"South Sudan","2048","Medium","60.578"
"South Sudan","2047","Medium","60.4559"
"South Sudan","2046","Medium","60.3477"
"South Sudan","2045","Medium","60.2287"
"South Sudan","2044","Medium","60.1043"
"South Sudan","2043","Medium","59.9895"
"South Sudan","2042","Medium","59.859"
"South Sudan","2041","Medium","59.7517"
"South Sudan","2040","Medium","59.6104"
"South Sudan","2039","Medium","59.492"
"South Sudan","2038","Medium","59.3868"
"South Sudan","2037","Medium","59.2717"
