Title,Video ID,Published At,Keyword,Likes,Comments,Views,Year,Month,Day,Day_of_Week,Engagement_Rate,Like_Rate,Comment_Rate,Total_Comments,Total_Comment_Likes,Avg_Sentiment
Apple Pay Is Killing the Physical Wallet After Only Eight Years | Tech News Briefing Podcast | WSJ,wAZZ-UWGVHI,2022-08-23,tech,3407.0,672.0,135612.0,2022,8,23,Tuesday,3.007823733712845,2.512296018818255,0.49552771489458974,10,391.0,1.2
The most EXPENSIVE thing I own.,b3x28s61q3c,2022-08-24,tech,76779.0,4306.0,1758063.0,2022,8,24,Wednesday,4.612175665959828,4.367247153687238,0.24492851227259074,10,5982.0,1.8
My New House Gaming Setup is SICK!,4mgePWWCAmA,2022-08-23,tech,63825.0,3338.0,1564007.0,2022,8,23,Tuesday,4.294287497250653,4.0808614789694175,0.2134260182812364,10,6262.0,1.9
Petrol Vs Liquid Nitrogen | Freezing Experiment | പെട്രോളിനെ ഐസ് ആകാൻ പറ്റുമോ | M4 Tech |,kXiYSI7H2b0,2022-08-23,tech,71566.0,1426.0,922918.0,2022,8,23,Tuesday,7.908819733909477,7.754309966530107,0.15450976737936914,10,5288.0,1.6
Best Back to School Tech 2022!,ErMwWXQxHp0,2022-08-08,tech,96513.0,5155.0,1855644.0,2022,8,8,Monday,5.478849672216399,5.20104869196425,0.2778009802521495,10,27217.0,1.6
Brewmaster Answers Beer Questions From Twitter | Tech Support | WIRED,18fwz9Itbvo,2021-11-05,tech,33570.0,1643.0,943119.0,2021,11,5,Friday,3.733671218932903,3.5594622105352447,0.17420900839765885,10,17355.0,1.3
Tech Monopolies: Last Week Tonight with John Oliver (HBO),jXf04bhcjbg,2022-06-13,tech,135047.0,9367.0,5937790.0,2022,6,13,Monday,2.432116590159539,2.2743643216812446,0.15775226847829438,10,19215.0,1.1
I bought the STRANGEST TECH on the Internet.,2TqOmtTAMRY,2022-08-07,tech,216935.0,12605.0,4782514.0,2022,8,7,Sunday,4.799566755148703,4.536002500776265,0.26356425437243797,10,11480.0,1.8
15 Emerging Technologies that Will Change the World,wLlL46pYcg4,2021-12-08,tech,45565.0,2882.0,7001236.0,2021,12,8,Wednesday,0.691977717651895,0.6508135633745865,0.04116415427730843,10,1205.0,1.1
Toxicologist Answers More Poison Questions From Twitter | Tech Support | WIRED,R7qsau3X6Ks,2022-07-14,tech,24252.0,1068.0,667767.0,2022,7,14,Thursday,3.7917360520420265,3.631800265960633,0.15993578608139353,10,12333.0,1.1
Dope Tech: The Most Extreme Gaming Monitor!,MEiq0oCUb_8,2022-08-15,tech,118001.0,4123.0,2359142.0,2022,8,15,Monday,5.176625579712633,5.00185872581696,0.17476685389567315,10,13422.0,1.7
Cool Tech Under $50 - August!,pT_9hntWj34,2022-08-06,tech,20999.0,3091.0,413179.0,2022,8,6,Saturday,5.830388692579505,5.082288590928893,0.7481001016506122,10,553.0,2.0
