Keyword,Video_Count,Engagement_Mean,Engagement_CI_Lower,Engagement_CI_Upper,Engagement_CI_Width
crypto,50,8.798945303655824,7.830468514717539,9.74103993315059,1.9105714184330518
reaction,50,7.564944002220653,6.787652223090942,8.406811356196897,1.6191591331059554
gaming,43,6.964528195903346,5.567003321028539,8.657226340332445,3.090223019303906
asmr,50,5.551703033346345,4.730578862832664,6.468338152844577,1.7377592900119128
trolling,50,5.300860534808378,4.6366511584346135,5.987515614567203,1.350864456132589
nintendo,48,5.260850048961573,4.6155180556450235,5.978288379760082,1.3627703241150586
game development,50,5.257323762736914,4.592836026232555,6.04482644093294,1.4519904147003855
minecraft,50,5.180133179718266,4.336365564995461,6.162876954455621,1.8265113894601601
xbox,49,4.968798015746383,3.9702436801309164,6.06614336518516,2.0958996850542433
marvel,50,4.124514623772338,3.472875616566458,4.8250039947582195,1.3521283781917615
sat,49,4.036925118475963,3.5872116330150843,4.493008136991383,0.905796503976299
education,24,3.9812010550293535,2.593294978869828,6.200242344562167,3.6069473656923385
apple,42,3.9367608662274884,3.1364191229011316,4.779051902980707,1.6426327800795755
data science,50,3.8875961097789586,3.523644315288732,4.283863186539069,0.7602188712503368
computer science,48,3.8790674250822055,3.3719082829009817,4.435990099220005,1.0640818163190233
chess,47,3.709409242208468,2.985895500536485,4.614340934040797,1.6284454335043121
tech,48,3.6565825495373527,3.2438089832933255,4.0646766217583306,0.8208676384650051
mrbeast,50,3.6004903886689283,3.213501421558708,4.065598486147192,0.8520970645884844
how-to,48,3.592016423090582,3.053302268013635,4.139172478961223,1.0858702109475882
tutorial,50,3.401571418501265,2.957386624121383,3.9141334252945708,0.9567468011731877
music,46,3.385621064308584,2.4293236968348735,4.516792908213231,2.087469211378358
business,48,3.2316863189786424,2.549932346182354,3.9090715884364555,1.3591392422541015
mukbang,45,3.212432346266151,2.514901219677424,4.011861669646766,1.4969604499693423
cnn,50,3.107850890307412,2.8281109758811547,3.4072592946923432,0.5791483188111886
interview,50,2.969291278855788,2.5678501774937774,3.458241031262844,0.8903908537690666
cubes,50,2.961670518638744,2.387641954284698,3.65848176934883,1.2708398150641322
history,50,2.895425953684811,2.306843531134768,3.6938546641720946,1.3870111330373267
physics,50,2.846452412275791,2.443817222262259,3.2768961172491076,0.8330788949868486
mathchemistry,15,2.8422588720003588,2.398527569221308,3.283108375098446,0.884580805877138
literature,46,2.8394526048827835,2.328589462674509,3.452594975392703,1.124005512718194
machine learning,50,2.7074116735101357,2.3331001444782693,3.1084490370434303,0.775348892565161
lofi,41,2.7050560922290763,2.0431433249504503,3.5634255222424076,1.5202821972919573
food,48,2.662673494345199,2.302198360505824,3.072686284584868,0.7704879240790441
google,45,2.62462485651193,2.0512943921729265,3.2288394376610428,1.1775450454881162
biology,47,2.5864216055327294,2.190913093659804,3.0238034586756712,0.8328903650158672
finance,39,2.2736898723921617,1.8741703015928355,2.7025614596066108,0.8283911580137753
news,39,2.000075191531079,1.5596845463398825,2.5447092734487398,0.9850247271088572
bed,44,1.5789545696324458,1.231346219061118,1.9919514528230262,0.7606052337619083
movies,45,1.3977371099546048,0.9205575406284968,1.9964231939943742,1.0758656533658773
sports,49,1.3195417980681823,1.1170263266780796,1.546192260279119,0.4291659336010394
animals,38,1.0481282162280081,0.8477670750828595,1.274454432685885,0.42668735760302556
