Title,Video ID,Published At,Keyword,Likes,Comments,Views,Year,Month,Day,Day_of_Week,Engagement_Rate,Like_Rate,Comment_Rate,View_to_Median_Ratio
El Chombo - Dame Tu Cosita feat. Cutty Ranks (Official Video) [Ultra Music],FzG4uDgje3M,2018-04-05,google,16445558.0,732818.0,4034122271.0,2018,4,5,Thursday,0.4258268550567126,0.4076613669879364,0.018165488068776117,6838.57331918421
Martin Garrix - Animals (Official Video),gCYcHz2k5x0,2013-06-17,animals,11025176.0,335455.0,1582262997.0,2013,6,17,Monday,0.7179989050088372,0.6967979415518127,0.02120096345702448,2682.224481147028
The Weeknd - Save Your Tears (Official Music Video),XXYlFuWEuKI,2021-01-05,music,6823113.0,270948.0,915457091.0,2021,1,5,Tuesday,0.7749200986035946,0.7453230806365307,0.029597017967063825,1551.8668044284946
Maroon 5 - Animals (Official Music Video),qpgTC9MDx1o,2014-09-29,animals,5743875.0,178361.0,826423766.0,2014,9,29,Monday,0.7166100778415779,0.695027808898918,0.02158226894265978,1400.9390734471706
Powfu - death bed (coffee for your head) (Official Video) ft. beabadoobee,jJPMnTXl63E,2020-04-01,bed,7786057.0,195769.0,524709805.0,2020,4,1,Wednesday,1.5211886472729652,1.483878690843449,0.03730995642951639,889.478858531938
One Direction - History (Official Video),yjmp8CoZBIo,2016-01-26,history,5400589.0,434688.0,434352213.0,2016,1,26,Tuesday,1.3434435952938413,1.243366287986735,0.1000773073071063,736.3062533585803
PIKOTARO - PPAP (Pen Pineapple Apple Pen) (Long Version) [Official Video],Ct6BUPvE2sM,2016-11-02,apple,4144389.0,294428.0,425478119.0,2016,11,2,Wednesday,1.043253881069137,0.9740545530284848,0.06919932804065225,721.2630448528328
Glass Animals - Heat Waves (Official Video),mRD0-GxqHVo,2020-06-29,animals,6177588.0,125791.0,378164492.0,2020,6,29,Monday,1.6668352308792778,1.6335716637468658,0.033263567132411874,641.0578141978311
Young Money - Bed Rock (Official Music Video),Ha80ZaecGkQ,2009-12-16,bed,1430457.0,84188.0,321977550.0,2009,12,16,Wednesday,0.47041944237907446,0.4442722778520668,0.02614716452700766,545.8106955842192
Rihanna - California King Bed,nhBorPm6JjQ,2011-05-07,bed,1171433.0,61344.0,308501014.0,2011,5,7,Saturday,0.39960225090345325,0.3797177134084956,0.019884537494957673,522.9655081224668
Bon Jovi - Bed Of Roses (Official Music Video),NvR60Wg9R7Q,2009-06-17,bed,1072689.0,37571.0,302125099.0,2009,6,17,Wednesday,0.36748353579361664,0.35504795861052263,0.012435577183094024,512.1571688418683
"$456,000 Squid Game In Real Life!",0e3GPea1Tyg,2021-11-24,mrbeast,14259033.0,611757.0,285526909.0,2021,11,24,Wednesday,5.2081921105089535,4.993936648563178,0.214255461945776,484.02020827011717
NLE Choppa - Walk Em Down feat. Roddy Ricch [Official Music Video],fyIcQ1Xl-rs,2020-03-19,music,2286473.0,86935.0,250793774.0,2020,3,19,Thursday,0.9463584173889483,0.911694478860171,0.034663938528777284,425.14120700381585
Google — Year In Search 2021,EqboAI-Vk-U,2021-12-08,google,169669.0,8630.0,239207161.0,2021,12,8,Wednesday,0.0745374839571066,0.07092973244672332,0.0036077515103832888,405.49978386423624
Tiësto - The Business (Official Music Video),nCg3ufihKyU,2020-09-25,business,1706185.0,25334.0,208293677.0,2020,9,25,Friday,0.8312873518897679,0.8191247167856914,0.012162635104076468,353.0957879801392
Maroon 5 - Animals (Lyric Video),7BJ3ZXpserc,2014-08-22,animals,1019385.0,24603.0,193685278.0,2014,8,22,Friday,0.5390125699744068,0.5263100041795122,0.012702565794894509,328.3318862125725
I Spent 50 Hours Buried Alive,9bqk6ZUsKyA,2021-03-27,mrbeast,6055504.0,239172.0,191988678.0,2021,3,27,Saturday,3.2786704053523907,3.154094309904596,0.12457609544779462,325.45583964930063
"Last To Leave Circle Wins $500,000",zxYjTTXc-J8,2021-08-31,mrbeast,4437532.0,109214.0,180766617.0,2021,8,31,Tuesday,2.5152575460586424,2.4548404174934557,0.060417128565186745,306.4323986662304
Ice Cube - It Was A Good Day,h4UqMyldS7Q,2009-02-24,cubes,2307773.0,71897.0,168546247.0,2009,2,24,Tuesday,1.4118795453696482,1.3692224106940665,0.04265713467558174,285.7166417757375
Damn Nature You Scary | Funny Scary Animal Encounters,XnitQYkYYcw,2021-09-08,animals,639942.0,23316.0,161103805.0,2021,9,8,Wednesday,0.4116960464608763,0.39722339024069986,0.01447265622017645,273.1003446305943
"Going Through The Same Drive Thru 1,000 Times",QxGVgXf_LNk,2019-10-05,mrbeast,3557658.0,127113.0,160818375.0,2019,10,5,Saturday,2.2912624114547704,2.212221071054716,0.07904134040005478,272.6164887007613
"I Ate A $70,000 Golden Pizza",F4Y3Pkn95GI,2020-02-29,mrbeast,3206546.0,108235.0,156000008.0,2020,2,29,Saturday,2.1248594927965674,2.055478086542931,0.06938140625363681,264.4484774718727
The Animals - House of the Rising Sun (1964) HQ/Widescreen ♫ 58 YEARS AGO,4-43lLKaqBQ,2009-07-03,animals,1357197.0,39624.0,153478497.0,2009,7,3,Friday,0.9101085938435493,0.8842912966218891,0.025817297221660325,260.17405624954444
"history of the entire world, i guess",xuCn8ux2gbs,2017-05-10,history,5471653.0,395657.0,147339243.0,2017,5,10,Wednesday,3.982177348487006,3.713642646354287,0.26853470213271896,249.7669005453402
Jacquees - B.E.D.,ul1H_p_FeaA,2017-04-17,bed,1121873.0,23969.0,145167323.0,2017,4,17,Monday,0.7893250136649208,0.7728137221844773,0.01651129148044363,246.08509985472287
"I Bought The World&#39;s Largest Firework ($600,000)",erQ_9yEz0ls,2020-07-03,mrbeast,4120158.0,177881.0,136439525.0,2020,7,3,Friday,3.1501421369640346,3.019768626285025,0.13037351067900954,231.28988976228456
I Went Back To 1st Grade For A Day,A-vX1AGBGsc,2019-01-31,mrbeast,2523764.0,136866.0,134377650.0,2019,1,31,Thursday,1.9799646594506999,1.878112901378221,0.10185175807247888,227.79463542558403
World’s Most Dangerous Escape Room!,3jS_yEK8qVI,2022-01-29,mrbeast,3945358.0,145722.0,125670049.0,2022,1,29,Saturday,3.2554136805070106,3.139457651206473,0.11595602930053739,213.0336629333098
ZOMBIE GIRL ESCAPE PREGNANCY PRANK BATTLE - Doctor Nerf Guns Couple Zombies Crime | Sky Nerf War,-EjsCBHEbbk,2020-11-28,google,349923.0,4082.0,122994457.0,2020,11,28,Saturday,0.2878219114555552,0.2845030627314932,0.0033188487240620223,208.49804630221374
I Opened A Restaurant That Pays You To Eat At It,dg2Ag3e8W-Q,2020-12-19,mrbeast,3963124.0,728774.0,116842899.0,2020,12,19,Saturday,4.015561065327889,3.3918398122607365,0.6237212530671525,198.07003307300982
"I Gave People $1,000,000 But ONLY 1 Minute To Spend It!",LeYsRMZFUq0,2020-12-15,mrbeast,4763784.0,174632.0,110124989.0,2020,12,15,Tuesday,4.48437361946639,4.325797441616112,0.15857617785027722,186.6819498666739
World&#39;s Largest Bowl Of Cereal,xRwy_rKc7gI,2019-05-15,mrbeast,2030057.0,81670.0,107126467.0,2019,5,15,Wednesday,1.971246732413506,1.8950097374628276,0.07623699495067829,181.59890796345866
Maroon 5 - Animals (Lyrics),0GVExpdmoDs,2019-07-22,animals,1103713.0,29774.0,106151957.0,2019,7,22,Monday,1.0677966015473779,1.0397481316359705,0.028048469911407567,179.94693570342443
All Sports Golf Battle 2 | Dude Perfect,-RmUADCWI4A,2017-12-04,sports,867074.0,43024.0,106014469.0,2017,12,4,Monday,0.8584658301833702,0.8178826909194565,0.040583139263913694,179.7138684572314
I Built Willy Wonka&#39;s Chocolate Factory!,Hwybp38GnZw,2022-06-04,mrbeast,4493972.0,177471.0,99698731.0,2022,6,4,Saturday,4.685559090159742,4.507551811190537,0.17800727896920496,169.00754017158636
Surviving 24 Hours Straight In A Desert,Ooke4YZv8Ts,2019-03-16,mrbeast,2129926.0,91190.0,98750169.0,2019,3,16,Saturday,2.2492275203171803,2.1568833754919106,0.09234414482526966,167.39955450604927
Powfu - Death Bed (Lyrics) ft. beabadoobee | don&#39;t stay awake for too long,u99AklNGpyc,2020-03-14,bed,1301198.0,40137.0,98559845.0,2020,3,14,Saturday,1.3609345534082917,1.3202110725700607,0.04072348083823102,167.0769205993487
